SAMPLE_ID,Answer
TEST_000,"2022년 혁신창업사업화자금(융자)의 예산은 2,230,000만원입니다. 


"
TEST_001,"중소벤처기업부의 혁신창업사업화자금(융자) 사업목적은 다음과 같습니다.

    1. (창업기반지원) 기술력과 사업성이 우수하고 미래 성장가능성이 높은 중소벤처기업의 창업을 활성화하고 고용창출 도모
    2. (개발기술사업화) 중소기업이 보유한 우수 기술의 사장을 방지하고 개발기술의 제품화·사업화를 촉진하여 기술기반 중소기업을 육성



"
TEST_002,"중소벤처기업부의 혁신창업사업화자금(융자) 사업은 중소기업진흥에 관한 법률 제66조, 제67조, 제74조, 중소기업창업지원법 제35조에 근거하고 있습니다. 


"
TEST_003,"제공된 텍스트에는 2010년에 신규 지원된 혁신창업사업화자금에 대한 정보가 없습니다. 텍스트는 2022년 결산, 2023년, 2024년에 대한 지출계획 총괄표와 사업의 역사적 배경, 지원 형태, 사업 목적 등을 설명하고 있습니다. 


"
TEST_004,"2020년에 신규 지원된 자금은 **미래기술육성자금**과 **고성장촉진자금** 입니다. 


"
TEST_005,"2015년 1월에 재창업자금이 재도약지원자금(융자)의 내역사업으로 이관되었습니다. 


"
TEST_006,"창업기반지원과 신청 대상이 중복인 자금은 '일자리창출촉진자금'입니다. 이 자금은 2023년 1월에 폐지되었습니다. 


"
TEST_007,"중소벤처기업부중소기업정책실이 혁신창업사업화자금(융자) 사업을 시행합니다. 


"
TEST_008,"혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다.

    1. 중소벤처기업부가 사업 지원을 위한 국고보조금을 지급합니다.
    2. 지원받은 금액에 따라 지방자치단체(시·도)가 지방비를 가산하여 시·군·구에 보조금을 지급합니다.
    3. 시·군·구는 지원 대상자를 선정하고, 급여액을 확정하여 지급합니다.
    4. 지급은 e-지로시스템(금융결제원) 또는 각 시·군·구 금고 시스템을 통해 이루어집니다.



"
TEST_009,"부모급여 지원 사업의 목적은 출산 및 양육으로 인해 손실되는 소득을 보전하고, 주 양육자의 직접 돌봄이 중요한 아동발달의 특성에 따라 영아기 돌봄을 두텁게 지원하는 것입니다. 


"
TEST_010,"제공된 텍스트에 따르면, 부모급여(영아수당)의 2024년 확정 예산은 685,606백만원입니다. 


"
TEST_011,"부모급여 지원 사업은 아동수당법 제4조제5항을 근거로 추진되고 있습니다. 


"
TEST_012,"영아수당 도입은 2020년 12월에 '제4차 저출산‧고령사회 기본계획'의 5대 핵심과제로 포함되어 추진되었습니다. 2021년 8월 예비타당성 조사가 통과하고, 같은 해 12월 근거법 마련이 이루어졌습니다. 이후 2022년 1월부터 영아수당 지원 사업이 시행되기 시작했습니다. 

    또한, '부모급여 도입'이라는 대통령 공약사항 및 국정과제에 포함되어 2024년부터 0~11개월 아동에 월 100만원의 부모급여를 지급하는 계획이 수립되었습니다. 2023년에는 부모급여 지원 사업이 시행되고, 부모급여 지급 근거를 규정한 '아동수당법'이 개정되었습니다. 


"
TEST_013,"제공된 텍스트에는 부모급여 지원 사업의 시행 시작일이 명시되어 있지 않습니다. 


"
TEST_014,"보건복지부의 부모급여(영아수당) 지원 사업은 **직접 출자** 방식으로 운영됩니다. 지원율은 서울 지역의 경우 25~45%, 기타 지역은 55~75%로 책정되어 있습니다. 

    사업 수혜자는 **8세 미만의 아동을 가진 부모**가 됩니다. 2023년 9월 14일 시행된 아동수당법 개정으로, 2세 미만 아동에게는 매월 50만원 이상의 영아수당이 지급됩니다. 


"
TEST_015,"노인장기요양보험 사업 운영의 목적은 고령이나 노인성 질병으로 일상생활을 혼자서 수행하기 어려운 노인 등에게 신체 또는 가사 활동 등을 제공하는 노인장기요양보험에 국고 지원을 통해 효율적인 정책 추진으로 노후의 건강 증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것입니다. 


"
TEST_016,"노인장기요양보험 운영지원은 「노인장기요양보험법」제58조에 따라 국가가 국민건강보험공단에 법정지원금을 지급하는 사업입니다. 이 지원금은 장기요양보험료 예상수입액의 20%에 해당합니다. 

    이를 통해 노인들의 장기요양 서비스 이용을 지원하고, 노후의 건강증진 및 생활 안정을 도모하며, 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것을 목표로 합니다. 


"
TEST_017,"국고지원을 받는 기타 의료급여수급권자는 이재민, 의사상자, 국가유공자, 입양아동, 국가무형문화재보유자, 북한이탈주민 등입니다. 


"
TEST_018,"노인장기요양보험법 제11조에 따르면 장기요양보험가입자 및 피부양자의 자격취득, 장기요양보험료 등의 납부·징수 및 결손처분 등에 관하여는 「국민건강보험법」 제5조, 제6조, 제8조부터 제11조까지, 제69조제1항부터 제3항까지, 제76조부터 제86조까지 및 제110조를 준용한다. 


"
TEST_019,"노인장기요양보험법은 2007년 4월에 제정되고 공포되었습니다. 


"
TEST_020,"장기요양인정점수 완화는 두 차례 이루어졌습니다.

    1. 2012년 7월: 3등급 인정점수 완화
        * 기존: 55~75점
        * 개선: 53~75점

    2. 2013년 7월: 3등급 인정점수 완화
        * 기존: 53~75점
        * 개선: 51~75점



"
TEST_021,"장기요양기관 지정갱신제의 법적 근거는 2018년 12월에 마련되었습니다. 


"
TEST_022,"2022년 10월 요양보호사 1명당 시설수급자를 2.5명에서 2.3명으로 개선되었습니다. 


"
TEST_023,"에너지 바우처 제도는 경제적 어려움으로 에너지 이용에 어려움을 겪는 에너지 소외 계층에게 전기, 가스, 지역난방 등 에너지 이용에 필요한 비용을 지원하는 제도입니다. 

    구체적으로 하절기 바우처는 하절기 냉방을 위한 전기 요금을 가상 카드 형태로 지원하고, 동절기 바우처는 동절기 난방을 위한 연탄, 등유, LPG, 전기, 도시가스, 지역난방 등 연료비를 가상 카드 또는 실물 카드 형태로 지원합니다. 


"
TEST_024,"에너지바우처 사업의 주요 수혜자는 다음과 같습니다:

    * 기초생활보장급여 수급자 중 노인, 장애인, 영유아, 임산부, 중증·희귀·중증난치질환자, 한부모, 소년소녀가정을 포함하는 세대
    * 연탄을 사용하는 기초생활수급자, 차상위계층, 기타 소외계층
    * 생계·의료급여(중위소득 40% 이하) 수급자 중 한부모, 소년소녀가정 세대


"
TEST_025,"사업시행주체는 한국에너지공단과 한국광해광업공단 입니다. 


"
TEST_026,"2024년 예산 규모는 다음과 같습니다:

    * 하절기바우처: 48,805 백만원
    * 동절기바우처: 171,337 백만원


"
TEST_027,"2023년 에너지바우처 사업 예산에서 사업운영비 중 에너지복지 홍보에 328백만원이 할당되었습니다. 


"
TEST_028,"2023년 에너지바우처 사업 예산에서 사업운영비 중 시스템 고도화에 520백만원이 할당되었습니다. 


"
TEST_029,"2023년 에너지바우처 사업 예산에서 콜센터 운영에 280백만원이 할당되었습니다. 


"
TEST_030,"2023년 에너지바우처 사업 예산에서 패널조사에 1억 3350만원이 할당되었습니다. 



"
TEST_031,"2023년 에너지바우처 사업 예산에서 에너지바우처 전달체계 구축에 37.5백만원이 할당되었습니다. 


"
TEST_032,"제공된 정보에는 주택관리공단 운영지원에 대한 예산 정보가 없습니다. 


"
TEST_033,"제공된 텍스트에서는 에너지바우처 사업의 향후 기대효과에 대한 구체적인 언급은 없습니다. 다만, 사업의 주요 내용과 성과 지표를 통해 다음과 같은 기대 효과를 추론해 볼 수 있습니다.

    * **에너지복지 사각지대 해소:** 2024년에는 115만 세대에 평균 36.7만원의 에너지 비용을 지원하여 에너지복지 사각지대에 있는 취약 계층의 에너지 부담을 완화하고, 더위·추위로 인한 건강 문제를 예방할 수 있을 것으로 기대됩니다.
    * **지원 대상 확대:** 주거·교육급여 수급세대를 에너지바우처 지원 대상에 포함하는 등 지원 대상을 확대하여 더 많은 취약 계층에게 에너지 지원을 제공할 수 있을 것으로 예상됩니다.
    * **사업 효율성 증대:** 시스템 고도화, 콜센터 운영 등 사업 운영비에 투"
TEST_034,"에너지바우처 사업에 대한 예비타당성조사는 KDI(한국개발연구원 공공투자관리센터)가 수행했습니다. 
"
TEST_035,"21년 국정감사에서는 저소득층의 폭염 피해를 최소화하기 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선을 권고했습니다. 


"
TEST_036,"제공된 텍스트에는 2021년 에너지바우처 사업에 대한 결산 지적사항은 언급되어 있지 않습니다. 

    다만, 2021년 국고보조사업 연장평가 결과가 지속 지원(87.8점)으로 나타났다는 정보만이 있습니다. 


"
TEST_037,"2023년 1월 26일과 2월 15일의 취약계층 난방비 지원 특별대책에 따라 예비비 100,000백만원이 배정되었습니다. 이를 통해 동절기 에너지바우처 지원단가를 2배로 인상하여 15.2만원에서 30.4만원으로 변경하여 취약계층의 난방비 부담을 완화할 계획입니다. 


"
TEST_038,"행복주택출자 사업은 공공주택 특별법 제3조의2(공공주택의 재원ㆍ세재지원 등)에 근거하여 추진되고 있습니다. 


"
TEST_039,"행복주택출자 사업은 젊은층(대학생, 사회초년생, 신혼부부 등 80%), 고령자 및 주거취약계층(20%)을 위한 주거복지 정책의 일환으로 시행됩니다. 


"
TEST_040,"행복주택출자 사업의 주요 수혜자는 대학생, 사회초년생, 신혼부부 등의 젊은층(80%), 고령자 및 주거취약계층(20%)입니다. 


"
TEST_041,"행복주택출자 사업의 사업비는 2020년 1,267,123백만원에서 2021년 1,105,291백만원으로 감소한 후, 2022년에는 775,293백만원으로 다시 감소했습니다. 2023년에는 684,607백만원으로, 2024년에는 528,783백만원으로 감소하는 추세입니다. 즉, 2020년 대비 2024년 사업비는 약 738,340백만원 감소한 것입니다. 



"
TEST_042,"행복주택출자 사업의 사업시행주체는 한국토지주택공사(LH), 지자체(지방공사) 입니다. 
"
TEST_043,"국고보조사업의 보조율은  '보조금 관리에 관한 법률 시행령 제4조 제1항 (별표 1)'에 명시된 기준에 따라 운용됩니다. 

    본문에서 직접적으로 언급된 예시로는 '부모급여(영아수당)'의 경우가 있습니다. 이 사업의 경우, 서울시는 25~45만원, 지방자치단체는 55~75만원을 보조금으로 지급하며, 이는 법령에 명시된 기준에 따라 결정됩니다. 


"
