SAMPLE_ID,Answer
TEST_000,"2022년 혁신창업사업화자금(융자)의 예산은 2,300,000만 원입니다."
TEST_001,"혁신창업사업화자금(융자)의 사업목적은 기술력과 사업성이 우수하며 미래 성장 가능성이 높은 중소벤처기업의 창업을 활성화하고 고용창출을 도모하는 것입니다. 또한, 중소기업이 보유한 우수 기술의 사업화를 촉진하여 기술기반 중소기업을 육성하는 것을 목표로 합니다. 이 사업은 중소기업진흥에 관한 법률 제66조, 제67조, 제74조 및 중소기업창업지원법 제35조에 근거하여 운영됩니다."
TEST_002,"혁신창업사업화자금(융자) 사업은 중소기업진흥에 관한 법률 제66조, 제67조, 제74조 및 중소기업창업지원법 제35조에 근거하고 있습니다. 이 법률들은 중소기업의 창업과 성장을 지원하고, 기술기반 중소기업을 육성하기 위한 법적 근거를 제공합니다."
TEST_003,"2010년에 신규 지원된 혁신창업사업화자금은 재창업자금(실패 경영인에 대한 재기지원)입니다. 이는 실패한 경영인들이 재기할 수 있도록 지원하는 자금으로, 창업 활성화와 고용 창출을 목적으로 합니다."
TEST_004,혁신창업사업화자금 중 2020년에 신규 지원된 자금은 미래기술육성자금과 고성장촉진자금입니다. 이 두 자금은 2020년 1월에 신규 지원되었습니다.
TEST_005,재창업자금은 2015년 1월에 재도약지원자금(융자)의 내역사업으로 이관되었습니다.
TEST_006,창업기반지원과 신청 대상이 중복인 자금은 일자리창출촉진자금입니다. 이 자금은 2023년 1월에 폐지되었습니다.
TEST_007,혁신창업사업화자금(융자) 사업을 시행하는 주체는 중소벤처기업진흥공단입니다.
TEST_008,"혁신창업사업화자금(융자)의 사업 집행절차는 다음과 같습니다:

1. 사업계획수립/공고: 중소벤처기업부와 중소기업진흥공단(중진공)이 사업 계획을 수립하고 공고를 통해 관련 정보를 제공합니다.

2. 사전상담 및 신청‧접수: 중소기업은 중진공에 사전 상담을 요청하고 필요한 서류를 준비하여 신청을 합니다.

3. 서류 및 현장실사: 중진공이 신청서를 검토하고 필요한 경우 현장실사를 실시하여 사업의 타당성과 실행 가능성을 평가합니다.

4. 융자 실행: 중진공과 은행이 협력하여 융자를 실행하고, 중소기업은 필요한 자금을 지원받게 됩니다.

5. 지원결정통보: 중진공이 융자 지원 여부를 결정하여 중소기업에 통보합니다.

6. 평가 및 승인: 중진공이 융자 지원 후 사업의 진행 상황을 평가하고 필요에 따라 추가적인 지원을 제공합니다.

이 과정에서 중소기업은 중진공과 긴밀히 협력하여 필요한 서류와 정보를 제출하고, 사업의 진행 상황을 성실히 관리해야 합니다."
TEST_009,"부모급여 지원 사업의 목적은 출산 및 양육으로 손실되는 소득을 보전하고, 주 양육자의 직접 돌봄이 중요한 아동 발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위함입니다. 이를 위해 영아수당 지급을 부모급여로 변경 및 확대하여 지원하고 있습니다."
TEST_010,"2024년 부모급여(영아수당)의 확정된 예산은 2,888,694백만 원입니다. 이는 2023년 예산 대비 1,267,240백만 원 증가한 금액입니다."
TEST_011,"부모급여 지원 사업은 보조금 관리에 관한 법률 시행령 제4조 1항 (별표 1)에 근거하여 추진되고 있습니다. 이 법령은 보조금의 교부 및 집행에 관한 사항을 규정하고 있으며, 특히 영아수당 지급과 관련된 사항을 명시하고 있습니다."
TEST_012,"영아수당 도입의 추진경위는 다음과 같습니다:

1. 2020년 12월, 제4차 저출산·고령사회 기본계획의 5대 핵심과제로 영아수당 도입이 결정되었습니다.
2. 2021년 8월, 예비타당성 조사를 통과하고, 2021년 12월에는 근거법인 아동수당법이 개정되었습니다.
3. 2022년 1월부터 영아수당 지원사업이 시행되었습니다.
4. 2022년 5월, '부모급여 도입'이 대통령 공약사항 및 국정과제로 포함되었습니다.
5. 2023년 1월부터 부모급여 지원사업이 시행되었으며, 2023년 5월에는 아동수당법이 개정되어 부모급여 지급 근거가 마련되었습니다.

영아수당(부모급여)은 만 0세에서 1세 아동에게 월 100만원을 지급하여 가정양육을 지원하고, 부모의 경제적 부담을 완화하는 것을 목적으로 합니다."
TEST_013,"부모급여(영아수당) 지원 사업은 2022년 1월 1일부터 시행되었습니다. 이는 출산 및 양육으로 손실되는 소득을 보전하고, 주 양육자의 직접 돌봄이 중요한 아동 발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 도입되었습니다."
TEST_014,보건복지부의 부모급여(영아수당) 지원 사업은 지자체 보조 방식으로 시행됩니다. 이 사업의 수혜자는 만 0~1세 아동입니다.
TEST_015,"노인장기요양보험 사업 운영의 목적은 고령이나 노인성 질병으로 일상생활을 혼자서 수행하기 어려운 노인 등에게 신체 또는 가사 활동 등을 제공하는 노인장기요양보험에 국고지원을 하여, 효율적인 정책추진으로 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것입니다. 구체적으로, 노인장기요양보험 사업운영은 다음과 같은 내용을 포함하고 있습니다:

1. 노인장기요양보험 운영지원: 「노인장기요양보험법」제58조에 따라 국가가 국민건강보험공단에 지원하는 법정지원금(장기요양보험료 예상수입액의 20% 상당)
2. 공무원·사립학교교원 등 장기요양보험료 국가부담금: 공무원·사립학교 교원의 장기요양 보험료 국가부담분 및 차상위계층의 장기요양보험료 지원
3. 노인장기요양보험 대상자 확대: 장기요양인정점수 완화 및 등급체계 개편을 통해 대상자를 확대
4. 장기요양 보장성 강화: 본인부담 감경대상 및 감경율 확대
5. 장기요양기관 재무·회계 기준 강화: 장기요양기관의 투명성 확보를 위한 재무·회계 기준 개정
6. 장기요양요원지원센터 설치: 장기요양요원의 권익 보호를 위한 센터 설치
7. 장기요양기관 지정갱신제 법적 근거 마련: 장기요양기관의 투명성 및 품질 관리를 위한 제도 마련

이러한 목적과 내용을 통해 노인장기요양보험 사업운영은 노인들의 삶의 질 향상과 가족의 부담 완화를 도모하고 있습니다."
TEST_016,"노인장기요양보험 운영지원은 「노인장기요양보험법」 제58조에 따라 국가가 국민건강보험공단에 지원하는 법정지원금을 말합니다. 이 지원금은 장기요양보험료 예상수입액의 20% 상당을 차지하며, 고령이나 노인성 질병으로 일상생활을 혼자서 수행하기 어려운 노인 등에게 신체 또는 가사 활동 등을 제공하는 노인장기요양보험을 효율적으로 운영하기 위해 사용됩니다. 이를 통해 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것을 목표로 합니다.

    구체적인 사업 내용은 다음과 같습니다:

    1. 공무원·사립학교교원 등 장기요양보험료 국가부담금: 공무원 및 사립학교 교원의 장기요양보험료 국가부담분을 지원하여, 이들의 경제적 부담을 줄이고 안정적인 노후 생활을 보장합니다.

    2. 차상위계층의 장기요양보험료 지원: 차상위계층의 장기요양보험료 일부를 지원하여, 저소득층의 장기요양 서비스 접근성을 높입니다.

    3. 장기요양요원지원센터 설치: 장기요양요원의 권익 보호를 위해 장기요양요원지원센터를 설치하여, 이들의 근무 환경 개선과 처우 향상을 도모합니다.

    4. 요양시설 CCTV 설치 의무화: 요양시설 내 CCTV 설치를 의무화하여, 거주 노인의 안전과 인권 보호를 강화합니다.

    5. 요양보호사 인력배치기준 개선: 요양보호사 1명당 시설수급자 비율을 2.5명에서 2.3명으로 개선하여, 요양보호사의 업무 부담을 줄이고 질 높은 서비스를 제공합니다.

    6. 제3차 장기요양 기본계획 수립: 2023년 8월에 '제3차 장기요양 기본계획'을 수립하여, 장기요양 정책의 방향성과 목표를 제시합니다.

    이러한 사업들을 통해 정부는 노후의 건강증진 및 생활 안정을 도모하고, 가족의 부담을 완화하여 국민 삶의 질을 향상시키려는 목표를 가지고 있습니다."
TEST_017,"국고지원을 받는 기타 의료급여수급권자는 「국민기초생활 보장법」에 의한 의료급여수급권자를 제외한 다음의 사람들을 말합니다:

1. 이재민
2. 의사상자
3. 국가유공자
4. 입양아동
5. 국가무형문화재보유자
6. 북한이탈주민

이들 의료급여수급권자는 장기요양급여 이용에 따른 급여비용 및 관리운영비에 대해 국고지원을 받습니다. 서울 지역에서는 50%, 기타 지역에서는 80%의 지원을 받습니다."
TEST_018,"장기요양보험가입자 및 피부양자의 자격취득과 관련하여 준용해야 하는 법률은 「국민건강보험법」입니다. 구체적으로, 「국민건강보험법」 제5조, 제6조, 제8조부터 제11조까지, 제69조제1항부터 제3항까지, 제76조부터 제86조까지 및 제110조가 장기요양보험가입자·피부양자의 자격취득·상실, 장기요양보험료 등의 납부·징수 및 결손처분 등에 관하여 준용됩니다. 이 경우 ""보험료""는 ""장기요양보험료""로, ""건강보험""은 ""장기요양보험""으로, ""가입자""는 ""장기요양보험가입자""로 간주됩니다."
TEST_019,"노인장기요양보험법은 2007년 4월에 제정 및 공포되었습니다. 이 법은 고령화 시대에 대비하여 노인장기요양보장제도를 도입하고, 노인장기요양보험을 통해 노인들의 신체적, 가사적 활동을 지원하여 노후의 건강증진과 생활 안정을 도모하고 가족의 부담을 완화하기 위해 마련되었습니다."
TEST_020,"장기요양인정점수 완화는 2012년 7월과 2013년 7월에 이루어졌습니다. 2012년 7월에는 3등급 인정점수 요건이 55~75점에서 53~75점으로 완화되었고, 2013년 7월에는 다시 51~75점으로 완화되었습니다. 이러한 점수 완화는 더 많은 노인들이 장기요양보험 혜택을 받을 수 있도록 하기 위한 목적이었습니다."
TEST_021,장기요양기관 지정갱신제의 법적 근거는 2018년 12월에 마련되었습니다. 이 제도는 2025년부터 시행될 예정입니다.
TEST_022,"2022년 10월에 요양보호사 1명당 시설수급자 인력배치기준이 개선되었습니다. 이전에는 요양보호사 1명당 시설수급자 2.5명이었으나, 개선 후에는 2.3명으로 변경되었습니다. 이 조치는 요양보호사의 업무 부담을 줄이고, 요양시설의 질적 향상을 도모하기 위해 시행되었습니다."
TEST_023,"에너지 바우처 제도는 경제적 부담으로 인해 에너지 이용에 어려움을 겪는 에너지 소외 계층에게 전기, 가스, 지역난방 등 에너지 이용에 필요한 비용을 지원하는 제도입니다. 이 제도는 하절기 바우처와 동절기 바우처로 나뉩니다.

    1. 하절기 바우처: 하절기 냉방 등을 위한 전기요금을 가상카드 형태로 지원하며, 전기요금을 절약할 수 있는 에너지 효율 가전제품 구매 시 할인 혜택을 제공합니다.

    2. 동절기 바우처: 동절기 난방 등을 위한 연탄, 등유, LPG, 전기, 도시가스, 지역난방 등의 연료비를 가상카드 또는 실물카드 형태로 지원하며, 난방용 연료 구입 시 할인 혜택을 제공합니다.

    또한, 연탄보일러를 사용하는 대상 가구에 연탄 구입 비용을 연탄쿠폰 형태로, 등유보일러를 사용하는 대상 가구에 난방용 등유 구입 비용을 실물카드 형태로 지원하고 있습니다.

    에너지 바우처 제도는 2015년 처음 시행되었으며, 이후 지속적으로 확대되고 있습니다. 2023년 예산은 바우처 사용(~2024년 4월) 등 지원 완료 후 최종 정산 예정입니다."
TEST_024,"에너지바우처 사업의 주요 수혜자는 기초생활보장급여 수급세대 중 노인, 장애인, 영유아, 임산부, 중증·희귀·중증난치질환자, 한부모, 소년소녀가정 등을 포함하는 가구입니다. 또한, 연탄을 사용하는 기초생활수급자, 차상위계층, 기타 소외계층과 등유를 사용하는 생계·의료급여 수급세대 중 한부모·소년소녀가정 세대도 수혜 대상입니다."
TEST_025,2024년 에너지바우처 사업의 사업시행주체는 한국에너지공단과 한국광해광업공단입니다.
TEST_026,"2024년 하절기바우처 예산 규모는 60,950백만 원이며, 동절기바우처 예산 규모는 600,521백만 원입니다."
TEST_027,2023년 에너지바우처 사업 예산에서 사업운영비 중 에너지복지 홍보에 할당된 금액은 328백만원입니다.
TEST_028,2023년 에너지바우처 사업 예산에서 사업운영비 중 시스템 고도화에 520백만원이 할당되었습니다.
TEST_029,2023년 에너지바우처 사업 예산에서 콜센터 운영에 할당된 금액은 280백만 원입니다.
TEST_030,2023년 에너지바우처 사업 예산에서 패널조사에 할당된 금액은 131.7백만원입니다.
TEST_031,2023년 에너지바우처 사업 예산에서 에너지바우처 전달체계 구축에 37.5백만 원이 할당되었습니다.
TEST_032,2023년 에너지바우처 사업 예산에서 주택관리공단 운영지원에 50백만 원이 할당되었습니다.
TEST_033,"에너지바우처 사업의 향후 기대효과는 다음과 같습니다:

1. 에너지복지 사각지대 해소: 에너지바우처 지원대상을 확대하여 필수 에너지 복지 지원을 강화함으로써, 에너지 취약계층의 생활 안정과 복지 향상에 기여할 수 있습니다.

2. 에너지 빈곤 완화: 에너지바우처를 통해 저소득 가구가 에너지 비용을 절감할 수 있도록 지원함으로써, 에너지 빈곤 문제를 완화하고 에너지 접근성을 높일 수 있습니다.

3. 에너지 효율 향상: 에너지바우처를 통해 에너지 효율이 높은 가전제품이나 단열재 설치를 지원함으로써, 에너지 소비를 줄이고 온실가스 배출을 감소시킬 수 있습니다.

4. 일자리 창출: 에너지 효율 개선 프로젝트나 에너지 관련 인프라 구축에 투자함으로써, 관련 분야의 일자리 창출과 경제 활성화에 기여할 수 있습니다.

5. 기후변화 대응: 에너지 효율 향상과 재생에너지 보급을 통해 온실가스 배출을 줄이고, 기후변화에 대응하는 데 기여할 수 있습니다.

6. 사회 통합: 에너지바우처를 통해 사회 취약계층이 에너지 복지에 접근할 수 있도록 지원함으로써, 사회 통합을 강화할 수 있습니다.

7. 에너지 전환 촉진: 에너지바우처를 통해 에너지 전환 정책을 촉진하고, 에너지 효율과 재생에너지 보급을 확대함으로써, 저탄소 사회로의 전환을 가속화할 수 있습니다."
TEST_034,에너지바우처 사업에 대한 예비타당성조사는 한국개발연구원(KDI)의 공공투자관리센터에서 수행하였습니다.
TEST_035,"2021년 국정감사에서 에너지 바우처 사업에 대한 주요 지적사항은 다음과 같습니다:

1. 저소득층의 폭염 피해 최소화를 위해 동절기 에너지 바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것.
- 이에 따라 희망세대 대상으로 동절기 에너지 바우처 중 일부를 하절기에 사용할 수 있도록 시스템을 개선하였습니다(‘22.5월).

2. 수급자 변경 등으로 예산부족이 발생하지 않도록 급여 선정기준 등의 변경계획 등에 대하여 보건복지부·지자체와 면밀히 소통하여 예산을 편성하고 사업을 추진할 것.
- 현재 보건복지부와 지속적인 소통 및 정보공유 체계를 유지하고 있으며, 기초생활보장제도 변경계획 등을 사전에 확인하여 지원대상 변동 등이 예산편성 시 신속히 반영되도록 하고 있습니다."
TEST_036,"2021년 에너지바우처 사업에 대한 결산 지적사항은 다음과 같습니다:

1. 수급자 변경 등으로 예산부족이 발생하지 않도록 급여 선정기준 등의 변경계획 등에 대하여 보건복지부·지자체와 면밀히 소통하여 예산을 편성하고 사업을 추진해야 한다는 점입니다.
2. 저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용하도록 제도 개선할 것을 지적받았습니다. 이에 따라 희망세대 대상으로 동절기 에너지바우처 중 일부를 하절기에 사용할 수 있도록 시스템을 개선하였습니다(‘22.5월).

이러한 지적사항을 바탕으로 보건복지부와 지속적인 소통 및 정보공유 체계를 유지하고, 기초생활보장제도 변경계획 등을 사전에 확인하여 지원대상 변동 등이 예산편성시 신속히 반영되도록 할 계획입니다."
TEST_037,에너지 바우처 사업의 향후 추진방향 중 '취약계층의 에너지 비용 부담 완화'를 위한 계획은 폭염 및 한파 등 기후변화와 에너지가격 상승에 따른 취약계층의 에너지 비용 부담을 완화하기 위해 지원단가를 현실화하는 것입니다. 이를 통해 취약계층이 에너지 비용을 더 쉽게 감당할 수 있도록 지원할 계획입니다.
TEST_038,"행복주택출자 사업은 주택도시기금법 제9조제1항가목과 공공주택특별법 제2조1호가목에 근거하여 추진되고 있습니다. 주택도시기금법 제9조제1항가목은 기금의 주택계정이 국민주택의 건설에 사용될 수 있다고 규정하고 있으며, 공공주택특별법 제2조1호가목은 임대 또는 임대한 후 분양전환을 할 목적으로 공급하는 주택으로서 대통령령으로 정하는 주택을 규정하고 있습니다.

    행복주택출자 사업은 젊은층(80%)과 고령자 및 주거취약계층(20%)을 대상으로 임대주택을 공급하는 것을 목적으로 하고 있습니다. 이 사업은 한국토지주택공사(LH)와 지방공사가 시행주체로 참여하며, LH는 30%의 출자를, 지자체는 20%의 출자를 담당하고 있습니다.

    추가적으로, 행복주택출자 사업은 '13.04 서민 주거안정을 위한 주택시장 정상화 종합대책 발표, '13.12 4.1, 8.28 부동산대책 후속조치 발표, '16.04 4.28 맞춤형 주거지원을 통한 주거비 경감방안 발표, '17.11 사회통합형 주거사다리 구축을 위한 주거복지로드맵 발표, '20.03 주거복지로드맵 2.0 발표, '21.02 ｢공공주도 3080+｣대도시권 주택공급 확대방안 발표, '23.01 ｢서민‧취약계층 주거복지 강화 방안｣발표 등 다양한 정책적 배경과 계획 하에 추진되고 있습니다."
TEST_039,"행복주택출자 사업은 국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 것을 목적으로 시행됩니다. 이 사업은 젊은층(80%)과 고령자 및 주거취약계층(20%)을 대상으로 임대 또는 임대한 후 분양전환을 할 목적으로 공급하는 공공주택을 건설하는 데 사용됩니다.

    행복주택은 대학생, 사회초년생, 신혼부부 등 젊은층과 고령자 및 주거취약계층을 대상으로 저렴한 임대료로 제공되며, 임대기간 동안 거주 후 일정 요건을 충족하면 분양전환이 가능합니다. 이 사업은 주택도시기금법 제9조제1항가목에 따라 국민주택의 건설을 위한 기금의 사용 목적으로, 공공주택특별법 제2조1호가목에 따른 임대 또는 임대한 후 분양전환을 할 목적으로 공급하는 주택을 건설하는 데 사용됩니다.

    행복주택출자 사업은 주택도시기금에서 자금을 지원하며, 2024년 계획 기준으로 528,783백만원의 예산이 배정되어 있습니다. 이 중 30%는 국고보조금으로 지원되며, 나머지 70%는 LH와 지자체가 출자 형태로 지원됩니다.

    행복주택출자 사업은 주거복지정책관 공공주택정책과에서 담당하며, 2024년 계획 기준으로 528,783백만원의 예산이 배정되어 있습니다. 이 중 155,824백만원이 증가하여 총 22.8%의 증가율을 보이고 있습니다."
TEST_040,행복주택출자 사업의 주요 수혜자는 젊은 층(80%)과 고령자 및 주거취약계층(20%)입니다. 이 사업은 국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 것을 목표로 합니다. 젊은 층과 고령자 및 주거취약계층에게 저렴한 주거환경을 제공함으로써 주거 안정성을 높이고자 합니다.
TEST_041,"행복주택출자 사업의 최근 5년 간 투입된 사업비는 다음과 같습니다:

    연도
    2020
    2021
    2022
    2023
    2024
    사업비
    1,267,123
    1,105,291
    775,293
    684,607
    528,783

    2020년에는 1,267억 1,230만 원, 2021년에는 1,105억 2,910만 원, 2022년에는 775억 2,930만 원, 2023년에는 684억 6,070만 원, 2024년에는 528억 7,830만 원이 투입되었습니다.

    2022년 대비 2023년에는 89억 6,160만 원(12.0% 감소), 2023년 대비 2024년에는 155억 8,240만 원(22.8% 감소)의 예산 감축이 있었습니다. 이는 2024년 예산안이 2023년 대비 22.8% 감소했음을 의미합니다."
TEST_042,행복주택출자 사업의 사업시행주체는 한국토지주택공사(LH)와 지자체(지방공사)입니다.
TEST_043,"국고보조사업의 보조율은 「보조금법」과 일부 개별 법령에 근거하여 운용됩니다. 보조금법에 따라 지방자치단체의 재정여건을 고려하여 기준보조율과 차등보조율을 적용하여 운용됩니다. 기준보조율은 각 사업별로 정해진 비율로, 지방자치단체의 재정여건에 따라 차등보조율이 적용될 수 있습니다. 예를 들어, 지방자치단체의 재정여건이 양호한 경우 기준보조율보다 낮은 차등보조율이 적용될 수 있습니다.

    또한, 지방비부담을 수반하는 국고보조사업의 경우 '지방비부담협의'와 '지방재정부담심의위원회' 두 개의 제도가 연계되어 운영됩니다. 그러나 실질적인 협의의 부족으로 운영 보완이 필요한 상태입니다. 중앙정부와 지방자치단체 간의 재정조정을 위해서는 중앙정부와 지방자치단체의 재정책임성을 강화할 수 있는 기준보조율 체계 및 적용에 대한 논의가 필요합니다.

    더욱이, 관리체계 측면에서 '지방비부담협의'와 '지방재정부담심의위원회'를 통해 국고보조사업별로 재원분담의 실태와 영향을 구체적으로 파악할 필요가 있습니다. 특히, 재원분담 측면에서 중앙정부와 지방자치단체의 합리적인 재정부담이 이루어지도록 논의하는 것이 바람직합니다."
TEST_044,"프랑스의 재정조정제도에서 최근 강조되는 형평교부금은 수평적 형평교부금의 역할을 강조하고 있습니다. 이는 지방자치단체 간 재정 불균형을 조정하고, 재정력이 약한 지방자치단체에 대한 지원을 강화하는 데 목적이 있습니다. 2010년대 이후 중앙정부의 재정적자로 인해 수평적 형평교부금의 역할이 더욱 중요해졌습니다.

프랑스의 지방재정조정제도는 목적에 따라 중앙의 지방으로의 권한이양에 따른 재정상 보상조치와 정부 간 재원불균형을 조정해 주는 형평화로 구분할 수 있습니다. 1979년에는 재정력이 강한 중앙정부가 재정력이 약한 지방정부에 차등 지원하기 위해 경상비교부금(DGF)을 창설하여 수직적 형평교부금 제도를 유지해왔습니다. 2003년에는 헌법개정 시 제72-2조를 신설하여 지방재정조정제도의 헌법적 근거를 마련했습니다.

2021년 기준 경상비교부금(DGF)의 총규모는 267억 5,800유로이며, 2015년부터 인구수, 재정수요 등을 기준으로 배분하고 재정위원회(CFL)를 통해 재정조정을 하고 있습니다. 지방자치단체의 재정수요 증가로 재정지출이 늘어나 지방자치단체의 세입으로 재정지출을 감당하기 어려워 중앙정부에 의존할 수밖에 없는 상황입니다.

프랑스의 지방재정조정제도는 수직적 재정조정 위주로 이루어지며, 이전재원은 지방자치단체가 자유롭게 사용할 수 있는 경상비교부금(DGF)을 사용합니다. 또한, 지방자치단체의 재정수요 증가로 재정지출이 늘어나 지방자치단체의 세입으로 재정지출을 감당하기 어려워 중앙정부에 의존할 수밖에 없는 상황입니다.

최근에는 행정권한 이전과 재정분권을 병행하면서, 재정법 개정을 통해 정부 간 재정관계의 재정조정을 강화함과 동시에 재정여건이 열악한 지방자치단체에 대한 지원을 강화하는 모습이 나타나고 있습니다. 예를 들어, 권역, 도, 기초자치단체연합, 기초자치단체 등 다양한 단위에서 재정조정기금을 조성하고 배분하고 있습니다.

프랑스의 지방재정조정제"
TEST_045,"지방재정조정제도는 자체 재원만으로 지출 책임을 충족하지 못하는 지방자치단체에 필요한 재정적 장치를 제공하는 것을 목적으로 합니다. 이는 중앙-지방 간 수직적 불균형을 완화하고, 재정력 격차를 완화하며, 국가 재정의 재배분을 통해 지방자치단체의 기본적인 수요에 대한 지출을 촉진하는 중요한 기능을 수행합니다. 특히, 지방교부세와 국고보조금 위주의 정부 간 재정관계를 구현하는 우리나라에서는 지방재정조정제도의 중심축인 이전재원의 역할에 대한 이해가 중요합니다. 지방교부세는 단순히 국고에서 지원되는 교부금이 아닌 중앙정부와 지방자치단체가 공유하는 재원으로, 지방자치 실현에 중요한 일반재원에 해당합니다. 국고보조금은 중앙정부의 세출이자 지방자치단체의 세입에 해당하는 교부금으로, 예산 배분에 관하여 중앙정부와 지방자치단체 모두의 이해관계가 높은 사안입니다. 지방재정조정제도는 사회복지 정책 수요의 증가로 인한 중앙정부와 지방자치단체의 법정사무 분담 및 재원 확보 방안에 대한 사전 예방조치를 필요로 합니다."
TEST_046,"국제적으로 성과중심 재정관리 강화 움직임은 1990년대 이후 체계적인 성과관리제도 도입에 대한 필요성이 대두되면서 대두되었습니다. 미국, 캐나다, 영국 등 주요 국가들은 부처별 대표 성과지표 위주의 성과공개 강화로 국민 관심 및 부처단위 성과를 제고하고자 노력해왔습니다. 이러한 움직임은 정부 예산의 효율적 사용과 국민에 대한 책임성을 높이기 위한 중요한 요소로 자리잡았습니다."
TEST_047,"한국은 「국가재정법」을 통해 재정사업 성과관리제도를 운영하고 있습니다. 2021년 12월 법 개정을 통해 성과관리 기본계획과 추진계획의 수립이 의무화되었습니다. 성과관리 기본계획은 5년마다 수립되며, 추진계획은 매년 수립됩니다. 정부는 이를 통해 행정 부담을 경감하고 재정운용의 책임성 및 투명성을 제고하고자 합니다. 또한, 핵심재정사업 성과관리는 범부처 차원에서 주요 대통령 과제를 선정해 관리하는 방식으로, 이를 통해 국정운영 동력을 강화하고자 합니다."
